contract_address,label,confuzzius,mythril-0.24.7,osiris,oyente,slither-0.10.4
IntergerOU*0*0x00000000000C2E074eC69A0dFb2997BA6C7d2e1e.sol,0,0,0,0,0,NA
IntergerOU*0*0x01ad3c7da8364d3f73d8ba6deb88c2add26a7837.sol,0,1,0,1,1,NA
IntergerOU*0*0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd.sol,0,0,0,1,1,NA
IntergerOU*0*0x05a271f117c42d77f77b0e4491f603c0370806e9.sol,0,0,0,0,1,NA
IntergerOU*0*0x080c3f46bc94370064fbd8c35ed8ce0d29230f4c.sol,0,0,0,1,0,NA
IntergerOU*0*0x090185f2135308BaD17527004364eBcC2D37e5F6.sol,0,0,0,0,0,NA
IntergerOU*0*0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e.sol,0,0,0,0,0,NA
IntergerOU*0*0x1111111254EEB25477B68fb85Ed929f73A960582.sol,0,0,0,0,0,NA
IntergerOU*0*0x13c8a7817ab3e74c28f5ef0eb7d7a3bdb329c2a0.sol,0,0,0,1,1,NA
IntergerOU*0*0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1.sol,0,0,0,0,0,NA
IntergerOU*0*0x17be21ab0d0a5255d5cd4ce387f42d95b81f88ea.sol,0,0,0,0,0,NA
IntergerOU*0*0x1a4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5.sol,0,0,0,0,0,NA
IntergerOU*0*0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984.sol,0,0,0,0,0,NA
IntergerOU*0*0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1.sol,0,0,0,0,0,NA
IntergerOU*0*0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599.sol,0,1,0,0,1,NA
IntergerOU*0*0x24d530c0e939f665e535f30d3858c1c3283e8d28.sol,0,0,0,1,0,NA
IntergerOU*0*0x2919336f7a427de135dc515fc5004b083d171ba4.sol,0,0,0,1,1,NA
IntergerOU*0*0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c.sol,0,0,0,0,0,NA
IntergerOU*0*0x30cb7595a61a87537fc517342e49bf088f2fb986.sol,0,0,0,0,0,NA
IntergerOU*0*0x398eC7346DcD622eDc5ae82352F02bE94C62d119.sol,0,0,0,0,0,NA
IntergerOU*0*0x39AA39c021dfbaE8faC545936693aC917d5E7563.sol,0,0,0,0,0,NA
IntergerOU*0*0x39de38ba63d172b962db2fc2ee5e4376287c50bf.sol,0,0,0,1,0,NA
IntergerOU*0*0x3E7d1eAB13ad0104d2750B8863b489D65364e32D.sol,0,0,0,0,0,NA
IntergerOU*0*0x3ada1b57182cab7791adae804a13f9d3dce88652.sol,0,0,0,1,0,NA
IntergerOU*0*0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B.sol,0,0,0,0,0,NA
IntergerOU*0*0x408e41876cCCDC0F92210600ef50372656052a38.sol,0,1,0,0,0,NA
IntergerOU*0*0x42d0b779f9c6831e414ef8555d6d325c4d48d2d8.sol,0,0,0,1,1,NA
IntergerOU*0*0x43dce347203eb1a728c7364f4b423733a04c5338.sol,0,0,0,0,0,NA
IntergerOU*0*0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5.sol,0,0,0,0,0,NA
IntergerOU*0*0x4E3b31eB0E5CB73641Ee1E65E7dCEFe520bA3ef2.sol,0,0,0,0,0,NA
IntergerOU*0*0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B.sol,0,0,0,0,0,NA
IntergerOU*0*0x4ec4142b862c798b3056f5cc32ab25803828c823.sol,0,0,0,0,0,NA
IntergerOU*0*0x4f786161a8140c166d85e4e322cc1d7a79eea9b9.sol,0,0,0,0,0,NA
IntergerOU*0*0x514910771AF9Ca656af840dff83E8264EcF986CA.sol,0,1,0,0,0,NA
IntergerOU*0*0x57Ab1ec28D129707052df4dF418D58a2D46d5f51.sol,0,0,0,0,0,NA
IntergerOU*0*0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32.sol,0,1,0,0,1,NA
IntergerOU*0*0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f.sol,0,0,0,0,0,NA
IntergerOU*0*0x5c0Ab2d9b5a7ed9f470386e82BB36A3613cDd4b5.sol,0,0,0,0,0,NA
IntergerOU*0*0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643.sol,0,0,0,0,0,NA
IntergerOU*0*0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419.sol,0,0,0,0,0,NA
IntergerOU*0*0x65C79fcB50Ca1594B025960e539eD7A9a6D434A3.sol,0,0,0,0,0,NA
IntergerOU*0*0x68667745398d750e20dbdb655f0f8ce86c405d8c.sol,0,1,0,0,1,NA
IntergerOU*0*0x6B175474E89094C44Da98b954EedeAC495271d0F.sol,0,0,0,0,0,NA
IntergerOU*0*0x6B3595068778DD592e39A122f4f5a5cF09C90fE2.sol,0,0,0,0,0,NA
IntergerOU*0*0x6c8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E.sol,0,0,0,0,0,NA
IntergerOU*0*0x773616E4d11A78F511299002da57A0a94577F1f4.sol,0,0,0,0,0,NA
IntergerOU*0*0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0.sol,0,1,0,0,1,NA
