address,comment
0x6B175474E89094C44Da98b954EedeAC495271d0F,"Dai (MakerDAO, ERC-20 Stablecoin, Audited: Trail of Bits)"
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,"CryptoPunks (NFT, Audited: ConsenSys Diligence)"
0x1F98431c8aD98523631AE4a59f267346ea31F984,"Uniswap V3 Factory (DEX, Audited: Trail of Bits)"
0xE592427A0AEce92De3Edee1F18E0157C05861564,"Uniswap V3 Swap Router (DEX, Audited: Trail of Bits)"
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,"Uniswap V2 Router02 (DEX, Audited: ConsenSys Diligence)"
0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,"Uniswap V2 Factory (DEX, Audited: ConsenSys Diligence)"
0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,"Uniswap V2 Pair (WETH-USDC) (DEX, Audited: ConsenSys Diligence)"
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,"Uniswap V2 Pair (USDC-WETH) (DEX, Audited: ConsenSys Diligence)"
0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,"Uniswap V2 Pair (DAI-WETH) (DEX, Audited: ConsenSys Diligence)"
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,"Uniswap V3 Router02 (DEX, Audited: Trail of Bits)"
0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,"Compound Comptroller (DeFi Lending, Audited: OpenZeppelin)"
0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,"Compound cETH (DeFi Lending, Audited: OpenZeppelin)"
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,"Compound cDAI (DeFi Lending, Audited: OpenZeppelin)"
0x6c8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E,"Compound cBAT (DeFi Lending, Audited: OpenZeppelin)"
0x70e36f6BF80a52b3B46b3aF4e1065e53e2Ec49b9,"Compound cUSDC (DeFi Lending, Audited: OpenZeppelin)"
0x39AA39c021dfbaE8faC545936693aC917d5E7563,"Compound cUSDT (DeFi Lending, Audited: OpenZeppelin)"
0xC11b1268C1A384e55C48c2391d8d480264A3A7F4,"Compound cWBTC (DeFi Lending, Audited: OpenZeppelin)"
0xF5DCe57282A584D2746FaF1593d3121Fcac444dC,"Compound cSAI (DeFi Lending, Audited: OpenZeppelin)"
0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407,"Compound cZRX (DeFi Lending, Audited: OpenZeppelin)"
0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1,"Compound cREP (DeFi Lending, Audited: OpenZeppelin)"
0xFace851a4921ce59e912d19329929CE6da6EB0c7,"Compound cLINK (DeFi Lending, Audited: OpenZeppelin)"
0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,"Aave V3 Pool (DeFi Lending, Audited: Trail of Bits)"
0x7d2768dE32b0b80b7a3454c06BdAc94A69DDc7A9,"Aave V2 LendingPool (DeFi Lending, Audited: Trail of Bits)"
0x398eC7346DcD622eDc5ae82352F02bE94C62d119,"Aave V2 LendingPoolAddressesProvider (DeFi Lending, Audited: Trail of Bits)"
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,"Aave AAVE Token (Governance, Audited: Trail of Bits)"
0x028171bCA77440897B824Ca71D1c56caC55b68A3,"Aave aDAI (DeFi Lending, Audited: Trail of Bits)"
0xBcca60bB61934080951369a648Fb03DF4F96263C,"Aave aUSDC (DeFi Lending, Audited: Trail of Bits)"
0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,"Aave aUSDT (DeFi Lending, Audited: Trail of Bits)"
0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,"Aave aWBTC (DeFi Lending, Audited: Trail of Bits)"
