address,comment
0x6B175474E89094C44Da98b954EedeAC495271d0F,"Dai (MakerDAO, ERC-20 Stablecoin, Audited: Trail of Bits)"
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,"Uniswap V2 Router02 (DEX, Audited: ConsenSys Diligence)"
0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,"Uniswap V2 Factory (DEX, Audited: ConsenSys Diligence)"
0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,"Uniswap V2 Pair (WETH-USDC) (DEX, Audited: ConsenSys Diligence)"
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,"Uniswap V2 Pair (USDC-WETH) (DEX, Audited: ConsenSys Diligence)"
0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,"Uniswap V2 Pair (DAI-WETH) (DEX, Audited: ConsenSys Diligence)"
0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,"Compound Comptroller (DeFi Lending, Audited: OpenZeppelin)"
0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,"Compound cETH (DeFi Lending, Audited: OpenZeppelin)"
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,"Compound cDAI (DeFi Lending, Audited: OpenZeppelin)"
0x6c8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E,"Compound cBAT (DeFi Lending, Audited: OpenZeppelin)"
0x39AA39c021dfbaE8faC545936693aC917d5E7563,"Compound cUSDT (DeFi Lending, Audited: OpenZeppelin)"
0xC11b1268C1A384e55C48c2391d8d480264A3A7F4,"Compound cWBTC (DeFi Lending, Audited: OpenZeppelin)"
0xF5DCe57282A584D2746FaF1593d3121Fcac444dC,"Compound cSAI (DeFi Lending, Audited: OpenZeppelin)"
0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407,"Compound cZRX (DeFi Lending, Audited: OpenZeppelin)"
0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1,"Compound cREP (DeFi Lending, Audited: OpenZeppelin)"
0x398eC7346DcD622eDc5ae82352F02bE94C62d119,"Aave V2 LendingPoolAddressesProvider (DeFi Lending, Audited: Trail of Bits)"
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,"MakerDAO MKR Token (Governance, Audited: Trail of Bits)"
0x65C79fcB50Ca1594B025960e539eD7A9a6D434A3,"MakerDAO MCD DAI (Stablecoin, Audited: Trail of Bits)"
0x9759A6Ac90977b93B58547b4A71c78317f391A28,"MakerDAO MCD JOIN DAI (Stablecoin, Audited: Trail of Bits)"
0xA950524441892A31ebddF91d3cEEFa04Bf454466,"MakerDAO MCD VOW (Stablecoin, Audited: Trail of Bits)"
0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,"Chainlink ETH/USD Price Feed (Oracle, Audited: ChainSecurity)"
0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c,"Chainlink BTC/USD Price Feed (Oracle, Audited: ChainSecurity)"
0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c,"Chainlink LINK/USD Price Feed (Oracle, Audited: ChainSecurity)"
0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9,"Chainlink USDC/USD Price Feed (Oracle, Audited: ChainSecurity)"
0x3E7d1eAB13ad0104d2750B8863b489D65364e32D,"Chainlink AAVE/USD Price Feed (Oracle, Audited: ChainSecurity)"
0x773616E4d11A78F511299002da57A0a94577F1f4,"Chainlink YFI/USD Price Feed (Oracle, Audited: ChainSecurity)"
0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46,"Chainlink BAT/USD Price Feed (Oracle, Audited: ChainSecurity)"
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,"Synthetix SNX Token (Governance, Audited: ChainSecurity)"
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,"Synthetix sUSD (Synthetic Asset, Audited: ChainSecurity)"
0x4E3b31eB0E5CB73641Ee1E65E7dCEFe520bA3ef2,"Synthetix sETH (Synthetic Asset, Audited: ChainSecurity)"
0xD71eCFF9342A5Ced620049e616c5035F1dB98620,"Synthetix sEUR (Synthetic Asset, Audited: ChainSecurity)"
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,"Lido LDO Token (Governance, Audited: Sigma Prime)"
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,"Lido wstETH (Wrapped stETH, Audited: Sigma Prime)"
0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,"Convex CVX Token (DeFi, Audited: MixBytes)"
0x1111111254EEB25477B68fb85Ed929f73A960582,"1inch Aggregation Router V5 (DEX Aggregator, Audited: OpenZeppelin)"
0xC586BeF4a0992C495Cf22e1aeEE4E446CECDee0E,"1inch Limit Order Protocol (DEX, Audited: OpenZeppelin)"
0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,"SushiSwap MasterChef (DEX, Audited: PeckShield)"
0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,"SushiSwap SUSHI Token (Governance, Audited: PeckShield)"
0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,"SushiSwap xSUSHI (Staking, Audited: PeckShield)"
0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,"SushiSwap Router (DEX, Audited: PeckShield)"
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,"USDC (ERC-20, Audited: Trail of Bits)"
0xdAC17F958D2ee523a2206206994597C13D831ec7,"USDT (ERC-20, Audited: CertiK)"
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,"WBTC (ERC-20, Audited: OpenZeppelin)"
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"WETH (ERC-20, Audited: Trail of Bits)"
0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,"MATIC (ERC-20, Audited: OpenZeppelin)"
0x090185f2135308BaD17527004364eBcC2D37e5F6,"SPELL (ERC-20, Audited: CertiK)"
0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,"CVX (ERC-20, Audited: MixBytes)"
0x514910771AF9Ca656af840dff83E8264EcF986CA,"LINK (ERC-20, Audited: ChainSecurity)"
0x1a4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,"BIT (ERC-20, Audited: CertiK)"
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,"YFI (ERC-20, Audited: Trail of Bits)"
0x408e41876cCCDC0F92210600ef50372656052a38,"REN (ERC-20, Audited: OpenZeppelin)"
0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,"Bored Ape Yacht Club (NFT, Audited: OpenZeppelin)"
0xba100000625a3754423978a60c9317c58a424e3D,"Balancer BAL Token (Governance, Audited: Trail of Bits)"
0xb440DD674e1243644791a4AdfE3A2AbB0A92d309,"Synthetix FeePool (DeFi Synthetics, Audited: ChainSecurity)"
0xc944E90C64B2c07662A292be6244BDf05Cda44a7,"The Graph GRT Token (Indexing, Audited: OpenZeppelin)"
0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,"Art Blocks (NFT, Audited: OpenZeppelin)"
0xf87e31492Faf9A91B02Ee0dEAAd50d51d56D5d4d,"Decentraland LAND (NFT, Audited: OpenZeppelin)"
0xDA7a001b254CD22e46d3eAb04d937489c93174C3,"Band Protocol Standard Dataset (Oracle, Audited: Quantstamp)"
0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,"MolochDAO V2 (Governance, Audited: Trail of Bits)"
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,"Uniswap UNI Token (Governance, Audited: ConsenSys Diligence)"
0xc00e94Cb662C3520282E6f5717214004A7f26888,"Compound COMP Token (Governance, Audited: OpenZeppelin)"
0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,"Gemini GUSD Token (ERC-20, Audited: Trail of Bits)"
0x8E870D67F660D95d5be530380D0eC0bd388289E1,"Paxos USDP Token (ERC-20, Audited: OpenZeppelin)"
0x00000000000C2E074eC69A0dFb2997BA6C7d2e1e,"ENS Registry (Decentralized Identity, Audited: ConsenSys Diligence)"
0xb49f677943BC038e9857d61E7d053CaA2C1734C1,"Chainlink EUR/USD Price Feed (Oracle, Audited: ChainSecurity)"
0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699,"Chainlink GBP/USD Price Feed (Oracle, Audited: ChainSecurity)"
0x5c0Ab2d9b5a7ed9f470386e82BB36A3613cDd4b5,"Chainlink XAU/USD Price Feed (Gold, Audited: ChainSecurity)"
0x9cA85572E6A3EbF24dEDd195623F188735A5179f,"Yearn yvCurve-stETH Vault (DeFi Yield, Audited: Trail of Bits)"
